job_id,skill,skill_category,skill_level
5O7UUBCXULJY,AWS,Cloud,Intermediate
5O7UUBCXULJY,R,Programming,Basic
5O7UUBCXULJY,GCP,Cloud,Advanced
5O7UUBCXULJY,PyTorch,ML,Intermediate
AWUDTSEMCIKP,AWS,Cloud,Advanced
AWUDTSEMCIKP,TensorFlow,ML,Advanced
AWUDTSEMCIKP,Azure,Cloud,Basic
AWUDTSEMCIKP,R,Programming,Intermediate
AWUDTSEMCIKP,Computer Vision,ML,Advanced
AWUDTSEMCIKP,Python,Programming,Intermediate
D5J60FKHMY4S,SQL,Programming,Advanced
D5J60FKHMY4S,NLP,ML,Intermediate
D5J60FKHMY4S,GCP,Cloud,Intermediate
D5J60FKHMY4S,TensorFlow,ML,Advanced
D5J60FKHMY4S,Scikit-learn,ML,Intermediate
1WJ0TPAC56T4,SQL,Programming,Intermediate
1WJ0TPAC56T4,GCP,Cloud,Intermediate
1WJ0TPAC56T4,R,Programming,Intermediate
1WJ0TPAC56T4,PyTorch,ML,Basic
HID25OWF7593,PyTorch,ML,Basic
HID25OWF7593,GCP,Cloud,Basic
HID25OWF7593,NLP,ML,Advanced
HID25OWF7593,TensorFlow,ML,Advanced
FZNBQH7M35IX,GCP,Cloud,Intermediate
FZNBQH7M35IX,AWS,Cloud,Basic
FZNBQH7M35IX,Python,Programming,Intermediate
FZNBQH7M35IX,TensorFlow,ML,Advanced
FZNBQH7M35IX,SQL,Programming,Intermediate
9T7E8G8JDP0L,GCP,Cloud,Basic
9T7E8G8JDP0L,R,Programming,Intermediate
9T7E8G8JDP0L,TensorFlow,ML,Basic
9T7E8G8JDP0L,Python,Programming,Intermediate
9T7E8G8JDP0L,Scikit-learn,ML,Advanced
S3Y70HP87WXE,NLP,ML,Advanced
S3Y70HP87WXE,Computer Vision,ML,Basic
S3Y70HP87WXE,GCP,Cloud,Advanced
S3Y70HP87WXE,PyTorch,ML,Basic
S3Y70HP87WXE,R,Programming,Intermediate
S3Y70HP87WXE,AWS,Cloud,Advanced
GXN0GUO4KH2V,R,Programming,Intermediate
GXN0GUO4KH2V,Azure,Cloud,Basic
GXN0GUO4KH2V,SQL,Programming,Advanced
DSWM31YIHAIR,GCP,Cloud,Basic
DSWM31YIHAIR,Computer Vision,ML,Intermediate
DSWM31YIHAIR,AWS,Cloud,Advanced
VXDP5GJLQM5K,Python,Programming,Intermediate
VXDP5GJLQM5K,SQL,Programming,Intermediate
VXDP5GJLQM5K,R,Programming,Intermediate
VXDP5GJLQM5K,Computer Vision,ML,Advanced
VXDP5GJLQM5K,Azure,Cloud,Advanced
VXDP5GJLQM5K,PyTorch,ML,Advanced
OFY6452H2ZQU,Computer Vision,ML,Advanced
OFY6452H2ZQU,AWS,Cloud,Intermediate
OFY6452H2ZQU,Python,Programming,Advanced
OFY6452H2ZQU,GCP,Cloud,Basic
WZS3T60RJIW1,PyTorch,ML,Advanced
WZS3T60RJIW1,Azure,Cloud,Advanced
WZS3T60RJIW1,SQL,Programming,Intermediate
WZS3T60RJIW1,NLP,ML,Intermediate
WZS3T60RJIW1,R,Programming,Intermediate
WZS3T60RJIW1,AWS,Cloud,Advanced
M6CFNFHOLQC3,AWS,Cloud,Advanced
M6CFNFHOLQC3,TensorFlow,ML,Advanced
M6CFNFHOLQC3,Azure,Cloud,Advanced
M6CFNFHOLQC3,R,Programming,Basic
M6CFNFHOLQC3,GCP,Cloud,Intermediate
M6CFNFHOLQC3,Python,Programming,Intermediate
48P0TVHHPBMY,R,Programming,Advanced
48P0TVHHPBMY,GCP,Cloud,Basic
48P0TVHHPBMY,TensorFlow,ML,Basic
C8BBI4WIRE8Q,Computer Vision,ML,Basic
C8BBI4WIRE8Q,Azure,Cloud,Advanced
C8BBI4WIRE8Q,AWS,Cloud,Basic
DALY8OZCYWD1,NLP,ML,Advanced
DALY8OZCYWD1,Scikit-learn,ML,Advanced
DALY8OZCYWD1,Computer Vision,ML,Basic
DALY8OZCYWD1,TensorFlow,ML,Advanced
DALY8OZCYWD1,Python,Programming,Intermediate
NSM43D8W3ZP0,GCP,Cloud,Advanced
NSM43D8W3ZP0,NLP,ML,Basic
NSM43D8W3ZP0,Computer Vision,ML,Intermediate
NSM43D8W3ZP0,PyTorch,ML,Basic
J43D5IQVNB4G,Python,Programming,Advanced
J43D5IQVNB4G,AWS,Cloud,Intermediate
J43D5IQVNB4G,GCP,Cloud,Basic
8DZR1YXR2DHY,Computer Vision,ML,Basic
8DZR1YXR2DHY,TensorFlow,ML,Basic
8DZR1YXR2DHY,NLP,ML,Intermediate
8DZR1YXR2DHY,AWS,Cloud,Advanced
8DZR1YXR2DHY,GCP,Cloud,Basic
ZJJEGET1GHR0,NLP,ML,Intermediate
ZJJEGET1GHR0,Azure,Cloud,Intermediate
ZJJEGET1GHR0,SQL,Programming,Basic
ZJJEGET1GHR0,GCP,Cloud,Advanced
ZJJEGET1GHR0,TensorFlow,ML,Advanced
ATJ9TZE5R5UQ,NLP,ML,Advanced
ATJ9TZE5R5UQ,AWS,Cloud,Basic
ATJ9TZE5R5UQ,TensorFlow,ML,Basic
ATJ9TZE5R5UQ,Scikit-learn,ML,Intermediate
ATJ9TZE5R5UQ,Computer Vision,ML,Basic
RUYF38DIUOVW,Python,Programming,Advanced
RUYF38DIUOVW,AWS,Cloud,Intermediate
RUYF38DIUOVW,Scikit-learn,ML,Basic
RUYF38DIUOVW,Azure,Cloud,Basic
RUYF38DIUOVW,R,Programming,Advanced
C8D1WJCITFOY,AWS,Cloud,Intermediate
C8D1WJCITFOY,GCP,Cloud,Basic
C8D1WJCITFOY,NLP,ML,Advanced
IJ2V2HEIFJFC,SQL,Programming,Basic
IJ2V2HEIFJFC,NLP,ML,Basic
IJ2V2HEIFJFC,Azure,Cloud,Advanced
IJ2V2HEIFJFC,Computer Vision,ML,Intermediate
IJ2V2HEIFJFC,R,Programming,Intermediate
IJ2V2HEIFJFC,PyTorch,ML,Basic
7SRCBPLJD84U,GCP,Cloud,Advanced
7SRCBPLJD84U,Computer Vision,ML,Intermediate
7SRCBPLJD84U,Scikit-learn,ML,Basic
7SRCBPLJD84U,AWS,Cloud,Basic
6GVWRDMLY4LY,Computer Vision,ML,Basic
6GVWRDMLY4LY,Scikit-learn,ML,Basic
6GVWRDMLY4LY,Azure,Cloud,Basic
6GVWRDMLY4LY,AWS,Cloud,Basic
6GVWRDMLY4LY,PyTorch,ML,Basic
6GVWRDMLY4LY,GCP,Cloud,Advanced
JE153A5QBSWR,Azure,Cloud,Advanced
JE153A5QBSWR,SQL,Programming,Basic
JE153A5QBSWR,Computer Vision,ML,Intermediate
JE153A5QBSWR,TensorFlow,ML,Intermediate
JE153A5QBSWR,GCP,Cloud,Intermediate
JE153A5QBSWR,PyTorch,ML,Basic
BW2ZLAOI4E8X,Azure,Cloud,Basic
BW2ZLAOI4E8X,SQL,Programming,Basic
BW2ZLAOI4E8X,TensorFlow,ML,Advanced
TN7S55J2O7S3,Python,Programming,Intermediate
TN7S55J2O7S3,Computer Vision,ML,Advanced
TN7S55J2O7S3,AWS,Cloud,Intermediate
TN7S55J2O7S3,PyTorch,ML,Basic
TN7S55J2O7S3,Azure,Cloud,Basic
TMTTQLGZUI1B,PyTorch,ML,Advanced
TMTTQLGZUI1B,SQL,Programming,Intermediate
TMTTQLGZUI1B,Python,Programming,Advanced
TMTTQLGZUI1B,GCP,Cloud,Advanced
SV55PSQ0OXFQ,SQL,Programming,Advanced
SV55PSQ0OXFQ,AWS,Cloud,Basic
SV55PSQ0OXFQ,GCP,Cloud,Basic
SV55PSQ0OXFQ,Computer Vision,ML,Basic
SV55PSQ0OXFQ,Azure,Cloud,Basic
SV55PSQ0OXFQ,Python,Programming,Intermediate
W5RTWIYKID91,Scikit-learn,ML,Intermediate
W5RTWIYKID91,R,Programming,Advanced
W5RTWIYKID91,AWS,Cloud,Advanced
W5RTWIYKID91,Python,Programming,Advanced
W5RTWIYKID91,PyTorch,ML,Intermediate
MPIOYGGVNYRU,Azure,Cloud,Advanced
MPIOYGGVNYRU,GCP,Cloud,Basic
MPIOYGGVNYRU,Python,Programming,Advanced
MPIOYGGVNYRU,Scikit-learn,ML,Basic
MPIOYGGVNYRU,NLP,ML,Basic
FPMVXPJ4HNRI,PyTorch,ML,Advanced
FPMVXPJ4HNRI,Scikit-learn,ML,Advanced
FPMVXPJ4HNRI,SQL,Programming,Advanced
UY0BVR6K2VMW,Scikit-learn,ML,Advanced
UY0BVR6K2VMW,GCP,Cloud,Intermediate
UY0BVR6K2VMW,Azure,Cloud,Advanced
UY0BVR6K2VMW,Computer Vision,ML,Basic
UY0BVR6K2VMW,SQL,Programming,Basic
U0DK0GET8T63,Azure,Cloud,Basic
U0DK0GET8T63,NLP,ML,Basic
U0DK0GET8T63,AWS,Cloud,Basic
U0DK0GET8T63,R,Programming,Advanced
U0DK0GET8T63,TensorFlow,ML,Advanced
1IYYO4UDOJEN,AWS,Cloud,Basic
1IYYO4UDOJEN,TensorFlow,ML,Advanced
1IYYO4UDOJEN,SQL,Programming,Basic
1IYYO4UDOJEN,Computer Vision,ML,Intermediate
1IYYO4UDOJEN,Azure,Cloud,Advanced
Y08P0FODRO8B,AWS,Cloud,Advanced
Y08P0FODRO8B,GCP,Cloud,Intermediate
Y08P0FODRO8B,Python,Programming,Intermediate
Y08P0FODRO8B,PyTorch,ML,Advanced
6XCJ883DHX8B,Computer Vision,ML,Intermediate
6XCJ883DHX8B,NLP,ML,Advanced
6XCJ883DHX8B,AWS,Cloud,Advanced
6XCJ883DHX8B,TensorFlow,ML,Intermediate
IA5U6HC36KOF,R,Programming,Basic
IA5U6HC36KOF,Scikit-learn,ML,Intermediate
IA5U6HC36KOF,NLP,ML,Intermediate
H5LF6A4FEJGX,NLP,ML,Basic
H5LF6A4FEJGX,R,Programming,Basic
H5LF6A4FEJGX,PyTorch,ML,Basic
B0S0R2SDS8B2,AWS,Cloud,Basic
B0S0R2SDS8B2,SQL,Programming,Intermediate
B0S0R2SDS8B2,Computer Vision,ML,Intermediate
B0S0R2SDS8B2,PyTorch,ML,Advanced
B0S0R2SDS8B2,GCP,Cloud,Intermediate
B0S0R2SDS8B2,Azure,Cloud,Basic
DZP6LFEWVZNV,SQL,Programming,Intermediate
DZP6LFEWVZNV,PyTorch,ML,Advanced
DZP6LFEWVZNV,Python,Programming,Advanced
5P5O3O0LLJ8Y,SQL,Programming,Advanced
5P5O3O0LLJ8Y,NLP,ML,Basic
5P5O3O0LLJ8Y,TensorFlow,ML,Basic
5P5O3O0LLJ8Y,Computer Vision,ML,Basic
5P5O3O0LLJ8Y,R,Programming,Advanced
5P5O3O0LLJ8Y,PyTorch,ML,Basic
UVULEMX15Z8V,PyTorch,ML,Basic
UVULEMX15Z8V,GCP,Cloud,Intermediate
UVULEMX15Z8V,Computer Vision,ML,Intermediate
UVULEMX15Z8V,R,Programming,Basic
UVULEMX15Z8V,TensorFlow,ML,Basic
UVULEMX15Z8V,Scikit-learn,ML,Intermediate
MUEKIPU1WYUV,Python,Programming,Intermediate
MUEKIPU1WYUV,Computer Vision,ML,Intermediate
MUEKIPU1WYUV,AWS,Cloud,Intermediate
MUEKIPU1WYUV,Azure,Cloud,Advanced
MUEKIPU1WYUV,R,Programming,Intermediate
MUEKIPU1WYUV,TensorFlow,ML,Intermediate
GFXC08DTNQFL,PyTorch,ML,Advanced
GFXC08DTNQFL,NLP,ML,Basic
GFXC08DTNQFL,Azure,Cloud,Advanced
CPPVOHSMDYVS,PyTorch,ML,Intermediate
CPPVOHSMDYVS,Computer Vision,ML,Intermediate
CPPVOHSMDYVS,Python,Programming,Basic
CPPVOHSMDYVS,R,Programming,Advanced
CPPVOHSMDYVS,AWS,Cloud,Basic
CPPVOHSMDYVS,Azure,Cloud,Advanced
1KERPETIUYMO,Azure,Cloud,Advanced
1KERPETIUYMO,GCP,Cloud,Advanced
1KERPETIUYMO,AWS,Cloud,Basic
ZPEAL2W37D4I,TensorFlow,ML,Basic
ZPEAL2W37D4I,PyTorch,ML,Intermediate
ZPEAL2W37D4I,R,Programming,Advanced
ZPEAL2W37D4I,AWS,Cloud,Intermediate
ZPEAL2W37D4I,Python,Programming,Advanced
2CWTG1M8XFDJ,Python,Programming,Advanced
2CWTG1M8XFDJ,SQL,Programming,Intermediate
2CWTG1M8XFDJ,NLP,ML,Advanced
11Q7UWW5WFCP,Scikit-learn,ML,Intermediate
11Q7UWW5WFCP,NLP,ML,Intermediate
11Q7UWW5WFCP,AWS,Cloud,Advanced
11Q7UWW5WFCP,TensorFlow,ML,Intermediate
C3C54WSQT26Q,GCP,Cloud,Intermediate
C3C54WSQT26Q,TensorFlow,ML,Intermediate
C3C54WSQT26Q,Scikit-learn,ML,Intermediate
C3C54WSQT26Q,R,Programming,Advanced
D6MZSGIPPSFN,GCP,Cloud,Intermediate
D6MZSGIPPSFN,Computer Vision,ML,Intermediate
D6MZSGIPPSFN,SQL,Programming,Basic
LUNJ48VFCX7L,NLP,ML,Basic
LUNJ48VFCX7L,GCP,Cloud,Basic
LUNJ48VFCX7L,Computer Vision,ML,Basic
LUNJ48VFCX7L,Scikit-learn,ML,Advanced
LUNJ48VFCX7L,TensorFlow,ML,Intermediate
23Y30YSXPNNG,SQL,Programming,Advanced
23Y30YSXPNNG,Computer Vision,ML,Intermediate
23Y30YSXPNNG,Scikit-learn,ML,Advanced
145BM1ENF313,TensorFlow,ML,Advanced
145BM1ENF313,R,Programming,Advanced
145BM1ENF313,Python,Programming,Advanced
145BM1ENF313,Computer Vision,ML,Intermediate
145BM1ENF313,AWS,Cloud,Advanced
145BM1ENF313,NLP,ML,Intermediate
V12II826GYUP,Python,Programming,Intermediate
V12II826GYUP,GCP,Cloud,Intermediate
V12II826GYUP,Scikit-learn,ML,Intermediate
V12II826GYUP,R,Programming,Advanced
BRN7ZSEDFQS3,TensorFlow,ML,Advanced
BRN7ZSEDFQS3,AWS,Cloud,Basic
BRN7ZSEDFQS3,Python,Programming,Advanced
BRN7ZSEDFQS3,Scikit-learn,ML,Basic
BRN7ZSEDFQS3,Azure,Cloud,Intermediate
I9NB74X2EK3Z,GCP,Cloud,Intermediate
I9NB74X2EK3Z,PyTorch,ML,Intermediate
I9NB74X2EK3Z,R,Programming,Basic
I9NB74X2EK3Z,AWS,Cloud,Intermediate
I9NB74X2EK3Z,TensorFlow,ML,Basic
I9NB74X2EK3Z,Scikit-learn,ML,Advanced
T0SEKKBP2QD6,AWS,Cloud,Advanced
T0SEKKBP2QD6,R,Programming,Intermediate
T0SEKKBP2QD6,PyTorch,ML,Intermediate
T0SEKKBP2QD6,Python,Programming,Intermediate
PWIOXD9CSS9T,Python,Programming,Intermediate
PWIOXD9CSS9T,Computer Vision,ML,Advanced
PWIOXD9CSS9T,SQL,Programming,Intermediate
PWIOXD9CSS9T,R,Programming,Advanced
PWIOXD9CSS9T,Azure,Cloud,Basic
PWIOXD9CSS9T,Scikit-learn,ML,Advanced
2M0W10LBT3G2,GCP,Cloud,Advanced
2M0W10LBT3G2,NLP,ML,Intermediate
2M0W10LBT3G2,Computer Vision,ML,Basic
2M0W10LBT3G2,PyTorch,ML,Basic
KBHB7S9TJ1GM,NLP,ML,Intermediate
KBHB7S9TJ1GM,Computer Vision,ML,Basic
KBHB7S9TJ1GM,AWS,Cloud,Basic
KBHB7S9TJ1GM,R,Programming,Advanced
KBHB7S9TJ1GM,Azure,Cloud,Intermediate
KBHB7S9TJ1GM,Scikit-learn,ML,Advanced
6N9RR7S20CV3,AWS,Cloud,Advanced
6N9RR7S20CV3,Computer Vision,ML,Advanced
6N9RR7S20CV3,TensorFlow,ML,Basic
6N9RR7S20CV3,NLP,ML,Intermediate
6N9RR7S20CV3,Scikit-learn,ML,Basic
ZFPQ06WPX2CY,Azure,Cloud,Advanced
ZFPQ06WPX2CY,TensorFlow,ML,Advanced
ZFPQ06WPX2CY,NLP,ML,Basic
YPEIXN8BFQNP,GCP,Cloud,Basic
YPEIXN8BFQNP,Azure,Cloud,Basic
YPEIXN8BFQNP,Python,Programming,Basic
YPEIXN8BFQNP,NLP,ML,Advanced
AGS6E1ZHWY9H,Azure,Cloud,Advanced
AGS6E1ZHWY9H,GCP,Cloud,Advanced
AGS6E1ZHWY9H,PyTorch,ML,Advanced
AGS6E1ZHWY9H,R,Programming,Basic
ZTKKFZZGNI92,SQL,Programming,Advanced
ZTKKFZZGNI92,Scikit-learn,ML,Intermediate
ZTKKFZZGNI92,Computer Vision,ML,Basic
5COZROOUELCQ,PyTorch,ML,Advanced
5COZROOUELCQ,NLP,ML,Basic
5COZROOUELCQ,Computer Vision,ML,Intermediate
S53SKF7I8SKC,Scikit-learn,ML,Intermediate
S53SKF7I8SKC,TensorFlow,ML,Intermediate
S53SKF7I8SKC,Python,Programming,Advanced
S53SKF7I8SKC,R,Programming,Basic
S53SKF7I8SKC,Computer Vision,ML,Intermediate
S53SKF7I8SKC,AWS,Cloud,Advanced
XVUGW6M7B5C8,SQL,Programming,Intermediate
XVUGW6M7B5C8,Python,Programming,Basic
XVUGW6M7B5C8,Azure,Cloud,Advanced
XVUGW6M7B5C8,Computer Vision,ML,Basic
6TXKI3OQYFOQ,GCP,Cloud,Advanced
6TXKI3OQYFOQ,SQL,Programming,Advanced
6TXKI3OQYFOQ,AWS,Cloud,Basic
6TXKI3OQYFOQ,Azure,Cloud,Intermediate
SDIEQFB85P86,TensorFlow,ML,Advanced
SDIEQFB85P86,Azure,Cloud,Basic
SDIEQFB85P86,Python,Programming,Basic
SDIEQFB85P86,AWS,Cloud,Intermediate
A8S8HMBR5XQT,PyTorch,ML,Basic
A8S8HMBR5XQT,R,Programming,Advanced
A8S8HMBR5XQT,TensorFlow,ML,Intermediate
BUNKNQT3WVED,Scikit-learn,ML,Advanced
BUNKNQT3WVED,TensorFlow,ML,Intermediate
BUNKNQT3WVED,Azure,Cloud,Basic
BUNKNQT3WVED,NLP,ML,Basic
BUNKNQT3WVED,GCP,Cloud,Advanced
BBZ2SF6F7LOW,NLP,ML,Advanced
BBZ2SF6F7LOW,R,Programming,Intermediate
BBZ2SF6F7LOW,Azure,Cloud,Basic
BBZ2SF6F7LOW,Python,Programming,Advanced
BBZ2SF6F7LOW,PyTorch,ML,Basic
BBZ2SF6F7LOW,GCP,Cloud,Basic
3NY9V20YAR82,Scikit-learn,ML,Advanced
3NY9V20YAR82,Azure,Cloud,Advanced
3NY9V20YAR82,SQL,Programming,Advanced
3NY9V20YAR82,GCP,Cloud,Intermediate
3NY9V20YAR82,R,Programming,Advanced
3NY9V20YAR82,TensorFlow,ML,Intermediate
FYB8DALFYO17,Computer Vision,ML,Advanced
FYB8DALFYO17,NLP,ML,Advanced
FYB8DALFYO17,Scikit-learn,ML,Basic
FYB8DALFYO17,SQL,Programming,Advanced
SLG6MM1ZXYVG,AWS,Cloud,Basic
SLG6MM1ZXYVG,Scikit-learn,ML,Intermediate
SLG6MM1ZXYVG,PyTorch,ML,Basic
SLG6MM1ZXYVG,SQL,Programming,Intermediate
ZLM72JEYN938,TensorFlow,ML,Intermediate
ZLM72JEYN938,R,Programming,Advanced
ZLM72JEYN938,AWS,Cloud,Advanced
ZLM72JEYN938,SQL,Programming,Advanced
RHT7ZEWVIYTW,Computer Vision,ML,Advanced
RHT7ZEWVIYTW,R,Programming,Basic
RHT7ZEWVIYTW,GCP,Cloud,Basic
RHT7ZEWVIYTW,TensorFlow,ML,Advanced
RHT7ZEWVIYTW,SQL,Programming,Basic
RHT7ZEWVIYTW,AWS,Cloud,Intermediate
89FX5RX1KKC1,PyTorch,ML,Basic
89FX5RX1KKC1,Azure,Cloud,Advanced
89FX5RX1KKC1,Python,Programming,Advanced
9OR7875AUD9K,GCP,Cloud,Intermediate
9OR7875AUD9K,R,Programming,Basic
9OR7875AUD9K,PyTorch,ML,Advanced
9OR7875AUD9K,Scikit-learn,ML,Intermediate
9OR7875AUD9K,Computer Vision,ML,Intermediate
L0XZAMKYGVWO,Scikit-learn,ML,Advanced
L0XZAMKYGVWO,AWS,Cloud,Basic
L0XZAMKYGVWO,SQL,Programming,Intermediate
L0XZAMKYGVWO,Computer Vision,ML,Advanced
LIJI18K0AXYC,NLP,ML,Advanced
LIJI18K0AXYC,AWS,Cloud,Advanced
LIJI18K0AXYC,Azure,Cloud,Intermediate
W7NH8RQ9NZ61,Azure,Cloud,Basic
W7NH8RQ9NZ61,SQL,Programming,Advanced
W7NH8RQ9NZ61,Computer Vision,ML,Basic
W7NH8RQ9NZ61,PyTorch,ML,Basic
W7NH8RQ9NZ61,GCP,Cloud,Basic
N7E36HTF4PYZ,R,Programming,Basic
N7E36HTF4PYZ,Azure,Cloud,Basic
N7E36HTF4PYZ,NLP,ML,Basic
N7E36HTF4PYZ,SQL,Programming,Intermediate
CQ30O30UBMC9,TensorFlow,ML,Basic
CQ30O30UBMC9,Scikit-learn,ML,Advanced
CQ30O30UBMC9,AWS,Cloud,Basic
CQ30O30UBMC9,NLP,ML,Basic
CQ30O30UBMC9,Python,Programming,Advanced
N6Q7NC85E4E9,Python,Programming,Basic
N6Q7NC85E4E9,AWS,Cloud,Intermediate
N6Q7NC85E4E9,TensorFlow,ML,Advanced
N6Q7NC85E4E9,PyTorch,ML,Intermediate
N6Q7NC85E4E9,Computer Vision,ML,Basic
ZPNIQFG51BXW,NLP,ML,Intermediate
ZPNIQFG51BXW,Azure,Cloud,Intermediate
ZPNIQFG51BXW,Scikit-learn,ML,Intermediate
5IBPT11F9I6U,Azure,Cloud,Advanced
5IBPT11F9I6U,Python,Programming,Basic
5IBPT11F9I6U,NLP,ML,Intermediate
5IBPT11F9I6U,GCP,Cloud,Intermediate
5IBPT11F9I6U,Computer Vision,ML,Advanced
KC856WPR97Y2,NLP,ML,Basic
KC856WPR97Y2,TensorFlow,ML,Intermediate
KC856WPR97Y2,PyTorch,ML,Basic
KC856WPR97Y2,AWS,Cloud,Basic
4KZ36U8UEIHX,Computer Vision,ML,Intermediate
4KZ36U8UEIHX,Azure,Cloud,Advanced
4KZ36U8UEIHX,Scikit-learn,ML,Basic
4KZ36U8UEIHX,NLP,ML,Basic
4KZ36U8UEIHX,Python,Programming,Intermediate
4KZ36U8UEIHX,R,Programming,Basic
VBC2VYHH6K6H,SQL,Programming,Advanced
VBC2VYHH6K6H,GCP,Cloud,Advanced
VBC2VYHH6K6H,NLP,ML,Intermediate
OILKQXLM5Q20,Azure,Cloud,Advanced
OILKQXLM5Q20,AWS,Cloud,Intermediate
OILKQXLM5Q20,SQL,Programming,Intermediate
OILKQXLM5Q20,Python,Programming,Basic
OILKQXLM5Q20,GCP,Cloud,Advanced
J7UPFLN4RXYJ,NLP,ML,Basic
J7UPFLN4RXYJ,R,Programming,Intermediate
J7UPFLN4RXYJ,Scikit-learn,ML,Basic
J7UPFLN4RXYJ,AWS,Cloud,Advanced
J7UPFLN4RXYJ,TensorFlow,ML,Basic
J7UPFLN4RXYJ,PyTorch,ML,Intermediate
TG698S4C3BAE,AWS,Cloud,Advanced
TG698S4C3BAE,R,Programming,Intermediate
TG698S4C3BAE,Scikit-learn,ML,Advanced
WYWRRATATJ9A,NLP,ML,Basic
WYWRRATATJ9A,Scikit-learn,ML,Intermediate
WYWRRATATJ9A,Azure,Cloud,Advanced
WYWRRATATJ9A,TensorFlow,ML,Intermediate
GS3JONOU9IY4,Computer Vision,ML,Basic
GS3JONOU9IY4,SQL,Programming,Intermediate
GS3JONOU9IY4,Scikit-learn,ML,Basic
AGRP2U4DTBH5,Scikit-learn,ML,Basic
AGRP2U4DTBH5,PyTorch,ML,Advanced
AGRP2U4DTBH5,R,Programming,Advanced
AGRP2U4DTBH5,Azure,Cloud,Basic
G4AHF337KUU4,TensorFlow,ML,Intermediate
G4AHF337KUU4,NLP,ML,Advanced
G4AHF337KUU4,SQL,Programming,Intermediate
G4AHF337KUU4,AWS,Cloud,Basic
0MDICVWV8LW2,Scikit-learn,ML,Intermediate
0MDICVWV8LW2,GCP,Cloud,Advanced
0MDICVWV8LW2,SQL,Programming,Intermediate
0MDICVWV8LW2,PyTorch,ML,Advanced
N1KICJN2FOMD,R,Programming,Basic
N1KICJN2FOMD,Scikit-learn,ML,Intermediate
N1KICJN2FOMD,NLP,ML,Basic
N1KICJN2FOMD,GCP,Cloud,Advanced
P3XVKVZRGOL0,GCP,Cloud,Intermediate
P3XVKVZRGOL0,PyTorch,ML,Advanced
P3XVKVZRGOL0,Scikit-learn,ML,Intermediate
P3XVKVZRGOL0,SQL,Programming,Intermediate
P3XVKVZRGOL0,Computer Vision,ML,Basic
7H9G1A07H23C,NLP,ML,Advanced
7H9G1A07H23C,AWS,Cloud,Advanced
7H9G1A07H23C,TensorFlow,ML,Basic
7H9G1A07H23C,Python,Programming,Advanced
7H9G1A07H23C,Azure,Cloud,Intermediate
